"CASE","SERIAL","REF","QUESTNNR","MODE","LANGUAGE","STARTED","PA01","PA18","PA05_01","PA05_02","PA05_03","PA05_04","PA05_05","PA05_06","PA20_01","PA20_02","PA20_03","PA20_04","PA20_05","PA20_06","PA14","PA12","PA17","PA07_01","PA19_01","PA08_01","PA23_01","PA15","PA22","PA16","TR02_01","TR03","TR16","TR04_01","TR04_02","TR04_03","TR04_04","TR04_05","TR04_06","TR04_07","TR04_08","TR11_01","TR11_02","TR11_03","TR11_04","TR11_05","TR11_06","TR11_07","TR11_08","TR05_02","TR05_03","TR05_04","TR05_05","TR05_06","TR05_07","TR06","TR17","SD01","SD03_01","SD04","SD07","SD09","SD17","SD15","SD12","SD14","SD16","GT01","GT02","RG02_01","RG11_01","RG12_01","RG09","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME"
3184,,,"colombia","interview","spa",2021-05-05 21:05:05,,2,,,,,,,5,1,5,1,1,2,,,4,,6,,10,,-1,1,"Los fraudes los realizaron personas que trabajan para las comisiones electorales <br><br>Por acciones fraudulentas van hacer condenados los responsables",,3,,,,,,,,,3,3,2,2,1,2,2,1,4,3,4,4,3,3,,2,1,44,,4,,2,3,1,4,2,,2,,"4",,1,5,44,86,347,73,57,92,704,,2021-05-05 21:16:50,1,0,7,7,0,0,1.13,19
3185,,,"colombia","interview","spa",2021-05-05 21:06:10,,2,,,,,,,2,1,5,1,5,5,,,15,,5,,10,,3,1,"Fraude en elecciones electorales <br>",,3,,,,,,,,,2,1,2,2,2,2,2,2,3,3,3,3,3,3,,2,2,21,,1,,3,5,1,4,-1,,2,,"3",,1,42,96,65,342,86,56,66,753,,2021-05-05 21:18:43,1,0,7,7,0,0,0.75,1
3187,,,"mexico","interview","spa",2021-05-05 21:11:49,3,,2,1,1,1,-9,3,,,,,,,,1,,5,,10,,3,,2,"No confio en las instituciones de gobierno ",3,,2,2,2,2,2,2,2,2,,,,,,,,,2,2,3,2,2,2,2,,1,27,,2,3,,5,1,7,2,2,,,,"2",1,9,56,39,22,56,21,44,247,,2021-05-05 21:15:56,1,0,7,7,3,2,1.65,51
3189,,,"colombia","interview","spa",2021-05-05 21:24:32,,2,,,,,,,5,1,4,1,1,2,,,15,,6,,3,,,,"Caos y disturbios en las principales ciudades del país.<br>Descontento social y poca credibilidad en las instituciones del estado y decadencia de la clase política.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"2",,1,18,56,118,153,,,,345,,2021-05-05 21:30:17,0,0,4,4,0,0,0.82,0
3191,,,"mexico","interview","spa",2021-05-05 21:27:25,4,,3,2,1,1,1,2,,,,,,,,10,,6,,10,,4,,1,"Las elecciones en México serán el 6 de junio del 2021 y los resultados dependerán de 90 millones de mexicanos.",3,,2,1,2,1,1,1,1,1,,,,,,,,,1,1,3,4,1,1,1,,1,20,,4,4,,4,1,5,-1,2,,,,"1",1,18,25,36,80,77,30,65,331,,2021-05-05 21:32:57,1,0,7,7,0,0,1.24,15
3192,,,"colombia","interview","spa",2021-05-05 21:28:08,,2,,,,,,,4,2,3,3,1,3,,,2,,8,,9,,2,2,"Que todo se haga sin corrupción ",,2,,,,,,,,,3,3,2,2,2,2,2,2,3,3,3,3,4,3,,2,2,31,,2,,5,6,1,4,-1,,2,,"1",,1,15,30,62,51,53,34,75,320,,2021-05-05 21:33:28,1,0,7,7,0,0,1.49,25
3193,,,"colombia","interview","spa",2021-05-05 21:31:17,,2,,,,,,,5,2,4,1,1,2,,,15,,6,,3,,3,1,"Disturbios en las principales ciudades del país.<br>Desprestigio de las instituciones del estados y la clase política.",,4,,,,,,,,,3,3,1,1,1,1,1,1,2,1,4,3,2,3,,2,2,43,,3,,4,1,1,4,1,,1,,"2",,1,10,19,37,49,53,85,73,326,,2021-05-05 21:36:43,1,0,7,7,0,0,1.68,37
3194,,,"mexico","interview","spa",2021-05-05 21:33:04,1,,5,1,1,1,1,3,,,,,,,,7,,5,,10,,4,,2,"Los fraudes que se cometieron en las elecciones son investigados y las personas castigadas son castigadas",2,,1,1,2,4,2,1,3,4,,,,,,,,,1,1,1,4,1,1,3,,2,35,,1,3,,6,1,6,-1,2,,,,"4",1,12,31,54,140,77,42,66,422,,2021-05-05 21:40:06,1,0,7,7,0,0,1.01,4
3196,,,"mexico","interview","spa",2021-05-05 21:39:10,-1,,4,3,3,1,1,1,,,,,,,,7,,-1,,10,,3,,2,"Mexicanos siendo corruptos<br>Mexicanos corruptos perdiendo sus puestos",1,,2,1,1,1,1,1,1,4,,,,,,,,,2,1,3,3,1,1,3,,2,25,,3,3,,1,1,7,2,2,,,,"3",1,256,66,170,193,152,130,139,863,,2021-05-05 21:57:36,1,0,7,7,0,0,0.4,0
3198,,,"mexico","interview","spa",2021-05-05 21:48:12,1,,4,2,5,1,1,4,,,,,,,,10,,-1,,10,,4,,1,"Hubo un fraude electoral a nivel nacional",3,,3,3,3,2,1,2,2,2,,,,,,,,,3,3,3,3,3,3,3,,2,19,,2,4,,1,1,5,2,2,,,,"3",1,24,26,99,187,81,47,63,527,,2021-05-05 21:56:59,1,0,7,7,0,0,0.84,2
3199,,,"mexico","interview","spa",2021-05-05 21:57:54,2,,4,1,2,1,1,1,,,,,,,,1,,5,,10,,3,,1,"Esta correcto ",3,,2,2,1,1,2,2,1,1,,,,,,,,,3,3,4,4,4,4,2,,1,29,,2,3,,3,1,6,-1,2,,,,"4",1,14,30,62,109,52,38,49,354,,2021-05-05 22:03:48,1,0,7,7,0,0,1.13,7
3200,,,"mexico","interview","spa",2021-05-05 21:58:03,2,,5,2,5,2,1,4,,,,,,,,10,,-1,,10,,4,,2,"Hubo un fraude electoral a nivel nacional",3,,3,2,3,2,2,3,3,2,,,,,,,,,3,4,3,3,4,4,2,,2,19,,2,4,,1,1,5,2,2,,,,"4",1,3,12,29,16,45,22,22,149,,2021-05-05 22:00:32,1,0,7,7,0,0,2.48,113
3201,,,"mexico","interview","spa",2021-05-05 21:58:12,3,,5,1,4,1,1,1,,,,,,,,10,,-1,,10,,3,,1,"Corrupción en las elecciones mediante la compra de votos",4,,3,1,2,2,1,-1,2,-1,,,,,,,,,1,1,1,1,1,1,2,,1,36,,2,5,,3,1,5,-1,2,,,,"4",1,16,13,37,52,49,26,40,233,,2021-05-05 22:02:05,1,0,7,7,0,0,1.72,37
3202,,,"mexico","interview","spa",2021-05-05 22:01:56,3,,5,5,5,3,2,4,,,,,,,,6,,-1,,10,,3,,1,"Por la corrupción que existe en el escenario hipotético, un partido gana las elecciones por alteraciones de votos a su favor.<br>Las personas responsables del fraude electodral perderían su puesto.",4,,3,2,1,2,1,1,2,2,,,,,,,,,2,3,3,4,4,3,2,,2,20,,3,4,,4,1,6,-1,2,,,,"3",1,26,35,88,170,59,68,135,581,,2021-05-05 22:11:37,1,0,7,7,0,0,0.74,1
3208,,,"colombia","interview","spa",2021-05-05 22:23:53,,1,,,,,,,5,1,5,1,1,3,,,1,,3,,10,,2,2,"Si los partidos de la oposición al centro democrático y a los partidos del gobierno no logran sacar la mayoría en el congreso, no se obtendrán las ventajas de que seleccionemos un gobierno nuevo que pueda solucionar o mejorar mucho las dificultades por las que atraviesa el país.<br>Es necesario que las fuerzas de izquierda y centro se unan para esas elecciones.",,2,,,,,,,,,2,2,2,1,2,2,3,1,1,1,4,3,3,3,,2,2,72,,4,,1,2,1,7,2,,2,,"1",,1,7,47,101,281,93,68,75,672,,2021-05-05 22:35:06,1,0,7,7,0,0,1.02,11
3209,,,"colombia","interview","spa",2021-05-05 22:27:37,,2,,,,,,,3,2,1,1,1,4,,,4,,4,,10,,3,2,"Al realizar nuevamente las elecciones en Colombia en el 2022 quedaran 20 partidos asumiendo puestos en el congreso.",,3,,,,,,,,,1,1,2,1,1,1,2,1,3,1,3,3,3,2,,2,1,23,,3,,1,1,1,6,2,,2,,"1",,1,37,66,91,436,68,57,65,820,,2021-05-05 22:41:17,1,0,7,7,0,0,0.76,1
3210,,,"mexico","interview","spa",2021-05-05 22:30:04,2,,1,1,2,1,1,2,,,,,,,,2,,6,,8,,3,,1,"Reeconteo de votos",3,,2,1,2,1,1,2,2,2,,,,,,,,,1,1,2,2,2,2,2,,2,32,,2,3,,1,1,7,1,2,,,,"2",1,10,51,97,96,78,49,53,434,,2021-05-05 22:37:18,1,0,7,7,0,0,0.97,4
3212,,,"mexico","interview","spa",2021-05-05 22:42:02,3,,5,1,1,2,1,4,,,,,,,,8,,-1,,9,,-1,,2,"Después de las elecciones se descubrió un fraude realizado por comisionados",3,,3,3,3,3,3,3,3,3,,,,,,,,,3,3,3,3,3,3,-1,,1,18,,3,3,,5,1,5,2,2,,,,"2",1,13,35,112,156,55,49,57,477,,2021-05-05 22:49:59,1,0,7,7,0,0,0.93,2
3214,,,"mexico","interview","spa",2021-05-05 22:44:17,3,,5,5,1,1,2,2,,,,,,,,6,,-1,,10,,3,,2,"Elecciones a diputados el 06/06/2021, para elegir entre entre más de 2000 candidatos, elegidos entre 90mil mexicanos. Ocho partidos recibieron escaños el la asamblea.",2,,2,2,4,1,1,3,3,1,,,,,,,,,2,3,3,3,2,3,2,,2,35,,4,2,,1,1,7,2,2,,,,"1",1,52,213,88,550,127,125,86,1061,,2021-05-05 23:04:58,1,0,7,7,0,0,0.42,0
3215,,,"mexico","interview","spa",2021-05-05 23:01:57,1,,2,2,3,1,1,1,,,,,,,,4,,5,,-1,,2,,1,"Las elecciones federales en México están programadas para el domingo 6 de junio de 2021. Se espera que más de 2,000 candidatos registrados van a concursar por los quinientos puestos de la Cámara de Diputados. Los resultados van a ser determinados por aproximadamente 90 miliones de Mexicanos. las elecciones ya pasaron y ocho partidos retuvieron escaños en la Asamblea.",4,,2,2,2,1,1,1,1,1,,,,,,,,,2,2,3,2,2,1,2,,1,21,,2,2,,1,1,6,2,2,,,,"1",1,7,27,37,206,79,307,35,440,,2021-05-05 23:13:35,1,0,7,7,0,0,1.15,17
3216,,,"mexico","interview","spa",2021-05-05 23:27:18,2,,3,2,3,1,1,2,,,,,,,,10,,-1,,1,,2,,1,"El domingo 6 de junio del año 2021 , se espera mas de 2000 candidatos que van a convidar por los 500 puestos de la cámara de diputados. Va haber de resultado 90 millones de mexicanos ",2,,3,3,4,3,3,3,4,2,,,,,,,,,-1,2,-1,4,3,3,3,,1,18,,4,1,,4,1,5,-1,2,,,,"2",1,6,28,94,150,95,14,74,461,,2021-05-05 23:34:59,1,0,7,7,0,0,1.33,27
3217,,,"mexico","interview","spa",2021-05-05 23:48:03,2,,5,1,4,1,1,4,,,,,,,,10,,-1,,10,,-1,,2,"Corrupción  en Mexico, manipulación de información en las casillas electorales.",4,,1,1,1,1,1,1,1,2,,,,,,,,,2,2,3,1,2,2,3,,1,19,,2,5,,1,1,6,2,2,,,,"3",1,38,32,63,138,85,52,57,465,,2021-05-05 23:55:49,1,0,7,7,0,0,0.85,0
3218,,,"mexico","interview","spa",2021-05-06 00:17:11,2,,2,1,1,1,1,2,,,,,,,,2,,6,,6,,2,,1,"La gente votando el 6 de junio para elegir uno de 2000 participantes ",3,,3,2,4,2,2,3,3,2,,,,,,,,,4,4,4,4,4,4,2,,1,23,,2,2,,3,1,4,3,2,,,,"1",1,8,48,49,85,52,45,60,347,,2021-05-06 00:22:59,1,0,7,7,0,0,1.19,12
3219,,,"mexico","interview","spa",2021-05-06 00:32:05,2,,2,1,4,5,3,5,,,,,,,,8,,8,,9,,-1,,2,"Las elecciones federales en México están programadas para el domingo 6 de junio de 2021.imajinese que se sabe que el gobierno en el poder manipuló las urnas",3,,3,2,2,2,2,2,3,3,,,,,,,,,3,3,4,4,3,3,3,,2,19,,3,2,,4,1,5,2,2,,,,"2",1,39,44,75,233,60,44,48,543,,2021-05-06 00:41:08,1,0,7,7,0,0,0.84,3
3222,,,"mexico","interview","spa",2021-05-06 01:10:43,4,,5,-9,2,1,1,2,,,,,,,,7,,5,,5,,3,,1,"votos extras en urnas con un fraude electoral",4,,3,1,1,1,1,1,1,1,,,,,,,,,1,1,4,2,2,2,2,,2,18,,1,3,,4,1,5,-1,1,,,,"4",1,16,25,32,96,50,39,44,302,,2021-05-06 01:15:45,1,0,7,7,3,2,1.32,18
3223,,,"mexico","interview","spa",2021-05-06 01:15:26,1,,1,5,1,1,1,3,,,,,,,,7,,8,,8,,2,,1,"Morena gana mayoria de candidaturas",2,,3,2,2,3,2,2,2,4,,,,,,,,,1,2,2,2,3,2,2,,2,50,,1,2,,1,1,7,2,1,,,,"1",1,14,39,69,116,86,147,235,706,,2021-05-06 01:27:12,1,0,7,7,0,0,0.72,0
3224,,,"mexico","interview","spa",2021-05-06 02:34:11,2,,5,1,5,1,1,1,,,,,,,,7,,5,,8,,2,,1,"Hubo corrupción en las urnas de votaciones por sinpatizantes del partidobpolitico ganador. ",3,,2,2,2,2,2,2,2,2,,,,,,,,,2,2,3,2,3,3,2,,2,35,,2,1,,1,1,6,2,1,,,,"3",1,10,45,102,162,96,69,63,547,,2021-05-06 02:43:18,1,0,7,7,0,0,0.82,2
3226,,,"mexico","interview","spa",2021-05-06 02:42:12,2,,3,4,5,2,2,3,,,,,,,,10,,4,,10,,4,,1,"Se realizaron las elecciones federales en México el 6 del junio del 2021, se descubrió al día siguiente que se hizo fraude electoral y se encontraron votos extras y alteracion del conteo de votos a favor de partido en el poder, se sabe que lo realizaron personas que trabajan para las comisiones electorales y como concecuencia perdierían sus puestos.",3,,2,1,3,2,1,2,1,1,,,,,,,,,1,1,2,3,2,2,2,,2,29,,3,2,,1,1,7,2,1,,,,"3",1,30,31,63,368,59,58,57,666,,2021-05-06 02:53:18,1,0,7,7,0,0,0.84,2
3232,,,"russia","interview","rus",2021-05-11 20:56:07,2,,-9,-9,-9,5,-9,-9,,,,,,,1,,,6,,10,,4,,1,"????? ???????????, ??? ?? ????????????? ?????????? ????? ???? ?????????? ? ??????????????? ????? ????????????? ????????.",2,,3,1,1,2,2,1,1,3,,,,,,,,,3,2,3,2,2,2,1,,1,45,6,2,1,,1,1,,2,2,,"4",,,1,21,45,40,216,72,77,83,554,,2021-05-11 21:05:21,1,0,7,7,13,12,0.82,4
3234,,,"russia","interview","rus",2021-05-11 20:56:11,3,,1,5,2,5,3,1,,,,,,,16,,,5,,10,,3,,1,"? ?????? ???? ???? ? ??????????? ??????? ? ??. ????? ????????? ? ???, ??? ?????? ????????? ????????????????. ",4,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,2,1,1,1,1,,1,37,10,2,1,,1,1,,2,2,,"3",,,1,11,22,49,98,39,42,50,311,,2021-05-11 21:01:23,1,0,7,7,0,0,1.33,17
3238,,,"russia","interview","rus",2021-05-11 20:56:12,1,,1,1,1,5,1,5,,,,,,,16,,,3,,10,,4,,1,"??????????? ??? ? ?????? ??????????? ????????? ???????? ? ???????????????.????? ?? ????????? ? ?????????? ?? ????? ???????????????.????????? ????? ??????.",4,,1,1,1,1,1,1,1,1,,,,,,,,,2,1,4,3,3,3,1,,2,52,10,4,2,,1,1,,2,2,,"3",,,1,59,28,56,168,68,33,62,474,,2021-05-11 21:04:07,1,0,7,7,0,0,0.94,4
3239,,,"russia","interview","rus",2021-05-11 20:56:15,2,,1,1,1,5,4,4,,,,,,,4,,,7,,10,,3,,1,"???????????, ??? ????? ??? ??????????? ?????????? ????????, ??? ?????? ?????????????? ????????? ??????????? ?? ??????? ?????? ????????????? ????????. ? ?????????, ?????? ?????????? ? ????????????? ??????????? ???????? ??????? ? ?????? ?????????? ?? ???????? ?????? ????? ????? ?? ?????? ???????? ??????. ?????? ????????? ? ??????<br><br>",3,,2,3,4,4,3,2,4,4,,,,,,,,,3,4,2,3,2,2,2,,2,18,3,3,2,,4,1,,-1,1,,"2",,,1,10,12,18,50,48,25,57,220,,2021-05-11 20:59:55,1,0,7,7,0,0,1.99,52
3241,,,"russia","interview","rus",2021-05-11 20:56:16,4,,-9,-9,-9,-9,-9,5,,,,,,,16,,,-1,,1,,4,,1,"? ?????? ???? ??????,  ?????????? ?????? ???????? ????????? ??, ? ?????????? ??? ????? ???????? ?????????? ??? ?????? ???? ?????????????????, ? ????? ????????????? ???????? ?????   ???? ? ??????? ? ????????????? ??????.",4,,4,4,1,2,1,2,2,2,,,,,,,,,3,3,4,4,4,4,1,,2,19,5,2,2,,4,1,,-1,-1,,"3",,,1,43,71,65,176,154,111,63,683,,2021-05-11 21:07:39,1,0,7,7,13,12,0.61,0
3243,,,"russia","interview","rus",2021-05-11 20:56:17,2,,2,2,2,5,4,4,,,,,,,16,,,3,,6,,3,,1,"????? ?????????? ???????? ??????? ?????????, ??? ?????? ?????????????? ????????? ???????????.",4,,4,3,1,3,1,3,3,3,,,,,,,,,2,2,1,2,2,1,3,,2,36,7,1,3,,1,1,,2,2,,"3",,,1,31,19,56,144,76,72,50,448,,2021-05-11 21:03:45,1,0,7,7,0,0,0.98,6
3244,,,"russia","interview","rus",2021-05-11 20:56:17,3,,1,1,2,2,5,4,,,,,,,16,,,-1,,-1,,4,,1,"????????????? ???????? ???????????? ??????? ? ????",3,,3,3,1,2,1,2,2,3,,,,,,,,,3,3,3,3,3,3,-1,,1,29,8,2,1,,3,1,,2,-1,,"3",,,1,8,23,72,69,57,32,46,307,,2021-05-11 21:01:24,1,0,7,7,0,0,1.39,21
3247,,,"russia","interview","rus",2021-05-11 20:56:18,2,,2,2,2,5,5,5,,,,,,,16,,,3,,10,,3,,1,"? ???? ????????? ??????? ? ??????????????? ???? ???? ?????????? ??????????????? ??????????? , ????? ????????????? ???????? , ?????????? ? ???, ???? ????????? ?? ???????? ????????.",4,,1,3,1,1,1,1,1,1,,,,,,,,,3,2,3,3,2,3,2,,1,22,4,3,3,,4,1,,2,2,,"3",,,1,7,25,43,169,54,34,76,408,,2021-05-11 21:03:06,1,0,7,7,0,0,1.25,15
3248,,,"russia","interview","rus",2021-05-11 20:56:18,1,,5,5,5,5,4,5,,,,,,,16,,,4,,10,,4,,1,"?? ?????? ??????? ? ???? ?????? ?????? ??????. ???? ???????? ????????, ?? ??? ??????? ""????????????"" ?? ????????????? ????????",4,,4,1,1,1,1,1,2,3,,,,,,,,,1,1,1,2,1,1,3,,1,42,10,3,2,,1,1,,2,2,,"3",,,1,4,20,66,89,42,33,41,295,,2021-05-11 21:01:13,1,0,7,7,0,0,1.65,35
3249,,,"russia","interview","rus",2021-05-11 20:56:19,2,,-9,4,-9,5,-9,3,,,,,,,4,,,7,,6,,3,,1,"?? ????? ??????????? ? ??????????????? ???? ???? ????????????? ?????????????? ????????? ? ?????? ?????????? ?? ???????? ???????. ???????? ?????????? ? ???????????????.",2,,3,3,1,2,2,1,4,3,,,,,,,,,3,3,3,2,1,1,3,,2,41,10,2,1,,1,1,,2,2,,"4",,,1,17,26,37,133,117,54,40,424,,2021-05-11 21:03:23,1,0,7,7,8,7,1.08,10
3250,,,"russia","interview","rus",2021-05-11 20:56:19,2,,-9,5,-9,5,5,5,,,,,,,16,,,6,,7,,4,,2,"???????? ?????? ???? ?? ????????, ??????, ????????? ??????? ??????? ? ????????? ??????????.",3,,3,2,2,2,2,2,2,2,,,,,,,,,3,3,2,3,3,2,2,,1,31,10,3,1,,1,1,,3,2,,"3",,,1,7,23,38,163,152,54,46,483,,2021-05-11 21:04:22,1,0,7,7,5,5,1.17,15
3251,,,"russia","interview","rus",2021-05-11 20:56:20,2,,2,4,1,5,-9,4,,,,,,,16,,,8,,8,,3,,1,"????? ??????? ???????????? ?????????????.????? ?????????? ????????? ????? ????????? ???? ???????",3,,1,3,1,2,2,2,2,2,,,,,,,,,2,3,3,2,3,3,2,,2,20,4,1,5,,4,1,,-1,2,,"3",,,1,10,11,47,104,58,27,37,294,,2021-05-11 21:01:14,1,0,7,7,3,2,1.6,30
3254,,,"russia","interview","rus",2021-05-11 20:56:22,3,,2,4,3,4,1,4,,,,,,,2,,,2,,8,,-1,,1,"? ???????? 2021 ????? ?????? ? ???????, ??????? ???????????????? ??????? ? ????????? ??????????????? ? ?????????? ??????",3,,4,3,3,3,3,3,3,3,,,,,,,,,2,3,3,4,3,3,3,,1,41,10,2,1,,1,1,,2,1,,"4",,,1,376,540,44,120,62,31,39,340,,2021-05-11 21:16:34,1,0,7,7,0,0,0.96,12
3257,,,"russia","interview","rus",2021-05-11 20:56:23,3,,1,2,1,5,5,4,,,,,,,16,,,5,,10,,3,,2," ? ???????? 2021 ???? ?????? ?????????? ?????? ????????? ??. ???????????, ??? ????? ?????? ?????????? ????????? ?????????, ??? ?????? ?? ????? ?????????? ?????? ?? ???????? ????????????? ????????. ",3,,2,2,2,2,1,2,3,3,,,,,,,,,3,3,3,2,3,3,2,,1,28,7,2,2,,1,1,,1,1,,"3",,,1,3,17,50,147,46,37,50,350,,2021-05-11 21:02:13,1,0,7,7,0,0,1.56,38
3259,,,"russia","interview","rus",2021-05-11 20:56:24,3,,1,2,1,4,1,4,,,,,,,16,,,-1,,8,,2,,1,"??? ?????? ? ????????????? ? ???",4,,2,3,1,2,1,1,1,2,,,,,,,,,3,3,2,2,3,2,3,,1,36,10,3,4,,3,1,,1,2,,"3",,,1,11,17,51,52,58,34,38,261,,2021-05-11 21:00:46,1,0,7,7,0,0,1.56,28
3260,,,"russia","interview","rus",2021-05-11 20:56:27,3,,1,2,1,5,5,5,,,,,,,16,,,-1,,10,,3,,1,"? ?????? ????????? ? ???????. ??????????? ??? ??????????, ????? ?????????, ????????? ? ?????????? ???? ????????? ?? ??????? ????????.",4,,3,3,1,2,1,2,2,2,,,,,,,,,3,3,3,2,2,2,2,,1,30,10,1,3,,1,1,,1,2,,"3",,,1,9,46,46,88,59,36,41,325,,2021-05-11 21:01:53,1,0,7,7,0,0,1.27,16
3261,,,"russia","interview","rus",2021-05-11 20:56:27,2,,-1,5,-1,5,5,4,,,,,,,3,,,3,,10,,3,,1,"19 ???????? 2021 ???? ???? ?????? ????????? ??.??? ?????? ????????",4,,3,2,1,2,2,2,3,1,,,,,,,,,3,3,3,4,4,3,1,,1,28,10,1,5,,3,1,,2,2,,"2",,,1,28,58,63,94,65,46,65,419,,2021-05-11 21:03:26,1,0,7,7,0,0,0.91,4
3262,,,"russia","interview","rus",2021-05-11 20:56:32,2,,-9,5,-9,5,-9,-9,,,,,,,1,,,-1,,3,,-1,,1,"?????? ?????? ???????? ????? ? ??????????.?????? ?????????????? ????????? ??????????? ?? ??????? ?????? ????????????? ????????.",4,,4,3,1,4,3,3,3,4,,,,,,,,,3,4,4,3,4,4,-1,,1,54,10,2,3,,3,1,,1,2,,"4",,,1,7,43,72,167,171,71,112,643,,2021-05-11 21:07:15,1,0,7,7,10,10,0.83,6
3263,,,"russia","interview","rus",2021-05-11 20:56:42,2,,1,2,1,5,3,4,,,,,,,3,,,7,,9,,3,,1,"???????? ?????? ?????? ? ?????? ? ??????? ????????? ?????. ????????? ???? ??????? ?????????.",4,,3,3,1,1,2,1,1,2,,,,,,,,,1,3,2,4,3,3,3,,2,44,7,3,1,,1,1,,2,2,,"4",,,1,11,33,89,121,90,55,65,464,,2021-05-11 21:04:27,1,0,7,7,0,0,0.92,2
3264,,,"russia","interview","rus",2021-05-11 20:56:44,2,,2,4,5,4,4,4,,,,,,,1,,,6,,6,,3,,1,"??????????? ?????? ????????? ?????? ? ???????? ???????????",3,,3,3,2,2,2,2,3,3,,,,,,,,,3,3,3,3,3,3,3,,1,36,10,3,3,,1,1,,2,1,,"2",,,1,4,28,61,83,58,47,47,328,,2021-05-11 21:02:12,1,0,7,7,0,0,1.46,25
3266,,,"russia","interview","rus",2021-05-11 20:56:59,2,,1,4,1,5,1,-1,,,,,,,15,,,6,,4,,3,,-1,"????? ????????? ??????????? ??????? ???? ???????? ????? ?????????????, ? ????? ? ???? ????? ?????????? ???? ?????????? ?? ???????????? ",3,,4,2,2,2,1,2,3,3,,,,,,,,,1,2,1,2,1,1,2,,2,41,10,2,5,,5,1,,2,2,,"3",,,1,8,40,82,165,80,37,69,481,,2021-05-11 21:05:00,1,0,7,7,0,0,0.99,6
3267,,,"russia","interview","rus",2021-05-11 20:57:04,2,,5,5,5,5,4,4,,,,,,,3,,,10,,10,,4,,1,"????? ????????????? ???????? ????? ????????? ?? ???????? ????????????? ??????? ???? ?? ?????? ? ??????????,??? ?? ????? ?????????? ? ????????? ???????????????",1,,4,4,4,4,4,4,4,4,,,,,,,,,3,3,4,4,3,3,1,,2,49,4,2,1,,1,1,,2,1,,"4",,,1,5,18,31,136,34,10,32,266,,2021-05-11 21:01:30,1,0,7,7,0,0,2.04,61
3268,,,"russia","interview","rus",2021-05-11 20:57:04,3,,2,2,4,4,3,4,,,,,,,16,,,6,,7,,4,,1,"? ?????? ????????? ?????? ? ?????????? ? ??????? ? ????????? ???????, ????????????? ???????. ????????? ?? ??????? ????????????? ????????. ????????? ???? ????????? ?? ??????? ???????? ",2,,2,2,1,1,2,2,2,3,,,,,,,,,2,1,3,2,1,1,3,,1,33,10,4,4,,1,1,,2,2,,"3",,,1,6,44,65,139,85,63,70,472,,2021-05-11 21:04:56,1,0,7,7,0,0,1.03,8
3269,,,"russia","interview","rus",2021-05-11 20:57:10,3,,1,1,4,5,2,4,,,,,,,16,,,8,,10,,4,,1,"? ??????????? ????????? ?????? ??????? 450 ????????? ???. ????. ???????? ?????? ????????? ? ?????? ?????????.",4,,4,3,1,1,1,1,2,1,,,,,,,,,1,1,1,1,1,1,1,,2,40,7,3,4,,1,1,,2,2,,"3",,,1,4,21,56,123,44,27,47,322,,2021-05-11 21:02:32,1,0,7,7,0,0,1.6,32
3270,,,"russia","interview","rus",2021-05-11 20:57:38,2,,2,5,5,-9,5,5,,,,,,,16,,,10,,10,,3,,2,"?????? ??????????? ? ???????? ??????????????? ????.?????? ?????????????? ????????? ???????????,? ?????????? ???? ????? ?????????? ???? ????????? ?? ??????? ????????",4,,3,3,1,2,1,1,1,3,,,,,,,,,2,1,4,1,1,2,2,,1,34,10,2,3,,1,1,,2,2,,"3",,,1,3,31,43,148,63,30,45,363,,2021-05-11 21:03:41,1,0,7,7,3,3,1.47,33
3275,,,"russia","interview","rus",2021-05-11 21:10:51,3,,-9,-9,-9,5,-9,-9,,,,,,,1,,,-1,,10,,3,,2,"?????? ????????? ?? ??????, ?? ????? ???? ????????? ????????????? ? ?????? ????????? ?????????. ???????? ? ???? ??????? ?????????",4,,4,2,1,2,2,2,2,3,,,,,,,,,3,3,2,4,2,2,2,,2,33,8,2,2,,1,1,,1,2,,"4",,,1,52,71,342,184,177,63,128,735,,2021-05-11 21:27:48,1,0,7,7,13,12,0.45,0
3276,,,"russia","interview","rus",2021-05-11 21:10:53,2,,4,5,2,5,2,4,,,,,,,3,,,-1,,9,,-1,,-1,"??????, ?????? - ????????? ???....?. ? ???????? 2021 ???? ?????? ??????? ??? ?????? ? ???????????, ????? ????? ?? ? ?? ????? ?????????, ??? ??? ?????????? ????? ?? ?????? ??????.",4,,-1,2,2,2,2,2,2,2,,,,,,,,,-1,1,-1,2,2,2,1,,1,66,7,2,3,,2,1,,-1,-1,,"2",,,1,13,25,40,135,103,35,54,405,,2021-05-11 21:17:38,1,0,7,7,0,0,1.12,8
